"price","year","manufacturer","condition","fuel","odometer","title_status","transmission","drive","state","lat","long"
"Diff",2016,"C","excellent","other",27369,"ok","automatic","4wd","az",33.396353,-111.954863
"Diff",2020,"B","excellent","diesel",9487,"ok","automatic","4wd","az",33.396353,-111.954863
"Easy",2015,"C","good","gas",29747,"ok","automatic","rwd","az",33.509448,-112.116994
"Easy",1998,"B","excellent","gas",138500,"ok","automatic","4wd","az",35.387623,-111.384791
"Diff",2020,"C","good","gas",10,"ok","automatic","4wd","az",35.189958,-111.666438
"Diff",2021,"C","good","gas",5846,"ok","automatic","fwd","az",35.189958,-111.666438
"Diff",2016,"C","excellent","gas",54000,"ok","automatic","4wd","az",34.894205,-111.874246
"Easy",2006,"C","good","gas",73936,"ok","automatic","4wd","az",34.5697,-111.8551
"Easy",2011,"C","like new","gas",73045,"ok","automatic","4wd","az",35.1859,-111.662
"Easy",2002,"C","excellent","gas",129036,"ok","automatic","fwd","az",34.728066,-112.019379
"Easy",2005,"C","good","gas",233576,"ok","automatic","4wd","az",34.728066,-112.019379
"Diff",2014,"C","good","gas",51072,"ok","other","fwd","az",33.779214,-84.411811
"Diff",2020,"C","good","gas",2129,"ok","automatic","fwd","az",35.189958,-111.666438
"Diff",2014,"B","good","gas",42684,"ok","automatic","4wd","az",33.779214,-84.411811
"Easy",2007,"C","good","gas",118335,"ok","automatic","rwd","az",33.634118,-112.093163
"Diff",2017,"C","good","gas",18093,"ok","other","4wd","az",33.779214,-84.411811
"Diff",2017,"C","good","gas",11297,"ok","other","fwd","az",33.7865,-84.4454
"Diff",2017,"C","good","gas",18548,"ok","automatic","fwd","az",33.7865,-84.4454
"Easy",2017,"D","good","other",26460,"ok","other","rwd","az",33.779214,-84.411811
"Diff",2017,"B","good","other",11721,"ok","other","4wd","az",33.7865,-84.4454
"Diff",1928,"C","excellent","gas",1500,"ok","automatic","rwd","az",34.4228,-114.125
"Easy",2012,"D","excellent","gas",146436,"ok","automatic","fwd","az",34.457486,-114.283025
"Easy",2012,"C","excellent","gas",142200,"ok","automatic","fwd","az",34.457486,-114.283025
"Easy",2020,"C","excellent","gas",6456,"ok","automatic","fwd","az",35.088239,-114.596974
"Easy",2013,"C","good","gas",98000,"ok","automatic","fwd","az",34.4814,-114.3483
"Easy",2010,"C","excellent","gas",133730,"ok","automatic","4wd","az",34.4814,-114.3483
"Easy",2006,"D","good","gas",136123,"ok","automatic","rwd","az",34.4814,-114.3483
"Easy",2005,"C","good","gas",152000,"ok","automatic","4wd","az",35.1321,-114.6368
"Easy",2011,"C","excellent","gas",41300,"ok","automatic","fwd","az",32.280672,-110.994405
"Easy",2015,"C","excellent","gas",112701,"ok","automatic","rwd","az",33.3354,-111.7406
"Easy",2014,"C","like new","gas",102000,"ok","automatic","fwd","az",33.563823,-112.16938
"Easy",2003,"C","new","gas",128000,"ok","automatic","4wd","az",33.4368,-111.7129
"Easy",2005,"C","good","gas",163000,"ok","automatic","4wd","az",33.7032,-112.1499
"Easy",2004,"C","excellent","gas",2e+05,"ok","automatic","fwd","az",33.6021,-112.3736
"Easy",1995,"C","good","gas",215536,"ok","automatic","rwd","az",33.351058,-111.967249
"Easy",2007,"C","fair","gas",130000,"ok","automatic","fwd","az",32.9576,-112.0534
"Diff",2018,"C","like new","gas",11000,"ok","automatic","fwd","az",33.582442,-111.9277
"Easy",2016,"C","excellent","gas",119548,"ok","automatic","rwd","az",33.414129,-111.619672
"Easy",2011,"C","excellent","gas",86373,"ok","automatic","fwd","az",33.396296,-111.717019
"Diff",2019,"C","good","gas",19388,"ok","other","rwd","az",33.44,-112.08
"Diff",2020,"C","like new","gas",8000,"ok","automatic","4wd","az",33.6819,-112.0996
"Easy",2004,"C","excellent","gas",108000,"ok","automatic","4wd","az",33.843316,-112.134447
"Easy",2015,"C","excellent","gas",75000,"ok","automatic","4wd","az",33.6134,-112.4512
"Easy",2010,"B","excellent","other",151026,"ok","automatic","4wd","az",33.327848,-111.841594
"Diff",2012,"C","excellent","gas",97153,"ok","automatic","rwd","az",33.414129,-111.619672
"Easy",2016,"C","excellent","gas",122134,"ok","automatic","fwd","az",33.415423,-111.740037
"Easy",2008,"C","excellent","gas",111000,"ok","automatic","4wd","az",33.278994,-111.864939
"Diff",2015,"C","excellent","gas",9959,"ok","automatic","rwd","az",33.6214,-111.90179
"Easy",1962,"D","fair","gas",13601,"ok","automatic","rwd","az",33.6324,-112.1118
"Easy",2013,"C","excellent","gas",96982,"ok","automatic","4wd","az",33.507248,-112.083011
"Easy",2005,"C","good","gas",222312,"ok","automatic","4wd","az",33.534798,-112.180236
"Diff",2013,"B","good","gas",42849,"ok","automatic","4wd","az",33.46612,-111.925078
